Id,BIRTHDATE,DEATHDATE,SSN,DRIVERS,PASSPORT,PREFIX,FIRST,LAST,SUFFIX,MAIDEN,MARITAL,RACE,ETHNICITY,GENDER,BIRTHPLACE,ADDRESS,CITY,STATE,COUNTY,ZIP,LAT,LON,HEALTHCARE_EXPENSES,HEALTHCARE_COVERAGE
f0f3bc8d-ef38-49ce-a2bd-dfdda982b271,2017-08-24,,999-68-6630,,,,Jacinto644,Kris249,,,,white,nonhispanic,M,Beverly  Massachusetts  US,888 Hickle Ferry Suite 38,Springfield,Massachusetts,Hampden County,01106,42.151961474963535,-72.59895940376188,8446.49,1499.08
067318a4-db8f-447f-8b6e-f2f61e9baaa5,2016-08-01,,999-15-5895,,,,Alva958,Krajcik437,,,,white,nonhispanic,F,Boston  Massachusetts  US,1048 Skiles Trailer,Walpole,Massachusetts,Norfolk County,02081,42.177370220648726,-71.28135315860652,89893.4,1845.7199999999998
ae9efba3-ddc4-43f9-a781-f72019388548,1992-06-30,,999-27-3385,S99971451,X53218815X,Mr.,Jayson808,Fadel536,,,S,white,nonhispanic,M,Springfield  Massachusetts  US,1056 Harris Lane Suite 70,Chicopee,Massachusetts,Hampden County,01020,42.181642300277424,-72.60884222581657,577445.86,3528.8399999999997
199c586f-af16-4091-9998-ee4cfc02ee7a,2004-01-09,,999-73-2461,S99956432,,,Jimmie93,Harris789,,,,white,nonhispanic,F,Worcester  Massachusetts  US,201 Mitchell Lodge Unit 67,Pembroke,Massachusetts,Plymouth County,,42.07529152717956,-70.75703466334431,336701.72,2705.64
353016ea-a0ff-4154-85bb-1cf8b6cedf20,1996-11-15,,999-60-7372,S99917327,X58903159X,Mr.,Gregorio366,Auer97,,,,white,nonhispanic,M,Patras  Achaea  GR,1050 Lindgren Extension Apt 38,Boston,Massachusetts,Suffolk County,02135,42.35243426303177,-71.02861042115062,484076.33999999997,3043.04
f58bf921-cba1-475a-b4f8-dc6fa3b8f89c,2019-06-12,,999-81-4349,,,,Karyn217,Mueller846,,,,white,nonhispanic,F,New Bedford  Massachusetts  US,570 Abshire Forge Suite 32,Colrain,Massachusetts,Franklin County,,42.740219982868055,-72.72264767557297,22940.0,893.2799999999999
b9fd2dd8-181b-494b-ab15-e9f286d668d9,1983-12-12,,999-73-5361,S99960247,X68109354X,Mr.,Milo271,Feil794,,,M,white,nonhispanic,M,Danvers  Massachusetts  US,422 Farrell Path Unit 69,Somerville,Massachusetts,Middlesex County,02143,42.36069732777065,-71.12653095133149,793335.55,2866.3599999999997
d22592ac-552f-4ecd-a63d-7663d77ce9ba,1989-06-22,,999-76-6866,S99979025,X42374914X,Mr.,José Eduardo181,Gómez206,,,M,white,hispanic,M,Marigot  Saint Andrew Parish  DM,427 Balistreri Way Unit 19,Chicopee,Massachusetts,Hampden County,01013,42.22835382315942,-72.56295055096882,709544.18,3023.04
28658715-b770-4576-9a81-fbb2282a98ea,1991-07-31,,999-74-9712,S99966383,X54776571X,Mrs.,Karyn217,Metz686,,Reynolds644,M,white,nonhispanic,F,Belmont  Massachusetts  US,181 Feest Passage Suite 64,Medfield,Massachusetts,Norfolk County,02052,42.138719393835025,-71.29725536274758,730953.33,4214.639999999999
055ae6fc-7e18-4a39-8058-64082ca6d515,2005-01-16,,999-78-4480,,,,Jeffrey461,Greenfelder433,,,,white,nonhispanic,M,Plymouth  Massachusetts  US,428 Wiza Glen Unit 91,Springfield,Massachusetts,Hampden County,01104,42.104927111867894,-72.59101060950445,389178.38,3214.7999999999997
